item.no,level,log.freq.ratio,discrimination,difficulty,guessing,inattention
1,330.226,0.000684614,1.440205336,0.590698548,0.33,0.99
2,330.763,0.002309452,1.440205336,0.527445739,0.33,0.99
3,330.784,0.00237294,1.440205336,0.524974253,0.33,0.99
4,331.321,0.003995039,1.440205336,0.461828058,0.33,0.99
5,331.343,0.004061438,1.440205336,0.459243246,0.33,0.99
6,331.879,0.00567779,1.440205336,0.396320795,0.33,0.99
7,331.904,0.005753116,1.440205336,0.39338846,0.33,0.99
8,332.438,0.007360722,1.440205336,0.330806479,0.33,0.99
9,332.465,0.007441937,1.440205336,0.327644892,0.33,0.99
10,332.998,0.009043829,1.440205336,0.265285329,0.33,0.99
11,333.027,0.009130913,1.440205336,0.261895271,0.33,0.99
12,333.559,0.010727107,1.440205336,0.199757567,0.33,0.99
13,333.59,0.01082004,1.440205336,0.196139817,0.33,0.99
14,334.121,0.012410548,1.440205336,0.134223409,0.33,0.99
15,334.154,0.01250931,1.440205336,0.130378745,0.33,0.99
16,334.684,0.014094149,1.440205336,0.068683074,0.33,0.99
17,335.248,0.015777902,1.440205336,0.003136779,0.33,0.99
18,335.813,0.017461803,1.440205336,-0.062415263,0.33,0.99
19,336.379,0.019145846,1.440205336,-0.127972835,0.33,0.99
20,336.946,0.020830026,1.440205336,-0.193535726,0.33,0.99
21,337.514,0.022514336,1.440205336,-0.259103721,0.33,0.99
22,337.557,0.02264173,1.440205336,-0.264063002,0.33,0.99
23,338.082,0.024195815,1.440205336,-0.324561466,0.33,0.99
24,338.652,0.025880377,1.440205336,-0.390139234,0.33,0.99
25,339.223,0.027565054,1.440205336,-0.455721477,0.33,0.99
26,339.794,0.029246897,1.440205336,-0.52119342,0.33,0.99
27,340.367,0.030931793,1.440205336,-0.586784181,0.33,0.99
28,340.94,0.032613854,1.440205336,-0.652264614,0.33,0.99
29,341.515,0.034298947,1.440205336,-0.717863067,0.33,0.99
30,342.09,0.035981206,1.440205336,-0.783351166,0.33,0.99
31,342.667,0.037666476,1.440205336,-0.848956494,0.33,0.99
32,343.244,0.03934891,1.440205336,-0.914451444,0.33,0.99
33,343.823,0.041034336,1.440205336,-0.980062835,0.33,0.99
34,344.402,0.042716925,1.440205336,-1.045563829,0.33,0.99
35,344.982,0.044399587,1.440205336,-1.11106764,0.33,0.99
36,345.051,0.044599578,1.440205336,-1.118853004,0.33,0.99
37,345.564,0.04608521,1.440205336,-1.176686721,0.33,0.99
38,346.146,0.047767997,1.440205336,-1.242195379,0.33,0.99
39,346.729,0.049450841,1.440205336,-1.307706259,0.33,0.99
40,347.314,0.051136615,1.440205336,-1.373331251,0.33,0.99
41,347.899,0.052819553,1.440205336,-1.438845799,0.33,0.99
42,348.485,0.054502533,1.440205336,-1.504361985,0.33,0.99
43,349.072,0.05618555,1.440205336,-1.569879614,0.33,0.99
44,349.661,0.057871459,1.440205336,-1.635509827,0.33,0.99
45,350.25,0.059554531,1.440205336,-1.701029579,0.33,0.99
46,350.84,0.061237625,1.440205336,-1.766550201,0.33,0.99
47,351.431,0.062920736,1.440205336,-1.832071503,0.33,0.99
48,352.023,0.06460386,1.440205336,-1.897593296,0.33,0.99
49,352.617,0.066289828,1.440205336,-1.963225793,0.33,0.99
50,353.211,0.067972958,1.440205336,-2.028747821,0.33,0.99
51,353.806,0.069656086,1.440205336,-2.094269782,0.33,0.99
52,354.402,0.071339208,1.440205336,-2.159791489,0.33,0.99
53,355,0.073025135,1.440205336,-2.225422417,0.33,0.99
54,355.598,0.074708225,1.440205336,-2.290942883,0.33,0.99
55,356.197,0.076391294,1.440205336,-2.356462547,0.33,0.99
56,356.797,0.078074338,1.440205336,-2.421981228,0.33,0.99
57,357.399,0.07976015,1.440205336,-2.487607669,0.33,0.99
58,358.001,0.081443125,1.440205336,-2.553123662,0.33,0.99
59,358.604,0.083126061,1.440205336,-2.618638134,0.33,0.99
60,359.209,0.084811737,1.440205336,-2.684259283,0.33,0.99
61,359.814,0.086494577,1.440205336,-2.749770002,0.33,0.99
62,359.933,0.086825249,1.440205336,-2.762642616,0.33,0.99
63,360.42,0.088177364,1.440205336,-2.815278671,0.33,0.99
64,361.028,0.089862863,1.440205336,-2.880892943,0.33,0.99
65,361.636,0.091545527,1.440205336,-2.946396809,0.33,0.99
66,362.246,0.093230885,1.440205336,-3.012005569,0.33,0.99
67,362.856,0.094913407,1.440205336,-3.077503941,0.33,0.99
68,363.468,0.096598606,1.440205336,-3.143106503,0.33,0.99
69,364.08,0.098280969,1.440205336,-3.208598697,0.33,0.99
70,364.694,0.099965991,1.440205336,-3.274194383,0.33,0.99
71,365.308,0.101648179,1.440205336,-3.339679724,0.33,0.99
72,365.924,0.103333007,1.440205336,-3.405267861,0.33,0.99
73,366.541,0.10501773,1.440205336,-3.470851885,0.33,0.99
74,367.159,0.106702342,1.440205336,-3.53643163,0.33,0.99
75,367.777,0.108384122,1.440205336,-3.601901085,0.33,0.99
76,369.018,0.111752769,1.440205336,-3.73303807,0.33,0.99
77,369.64,0.113436905,1.440205336,-3.798599248,0.33,0.99
78,370.263,0.115120909,1.440205336,-3.864155336,0.33,0.99
79,370.887,0.11680478,1.440205336,-3.929706174,0.33,0.99
80,371.512,0.118488511,1.440205336,-3.995251604,0.33,0.99
81,372.138,0.120172099,1.440205336,-4.060791466,0.33,0.99
82,372.765,0.12185554,1.440205336,-4.126325603,0.33,0.99
83,373.394,0.123541508,1.440205336,-4.191958117,0.33,0.99
84,374.023,0.125224638,1.440205336,-4.257480162,0.33,0.99
85,374.653,0.12690761,1.440205336,-4.322996017,0.33,0.99
86,375.285,0.128593083,1.440205336,-4.388609258,0.33,0.99
87,375.917,0.13027572,1.440205336,-4.454112095,0.33,0.99
88,376.551,0.131960842,1.440205336,-4.519711666,0.33,0.99
89,377.185,0.133643129,1.440205336,-4.585200879,0.33,0.99
90,377.821,0.135327884,1.440205336,-4.650786175,0.33,0.99
91,378.458,0.137012448,1.440205336,-4.716364024,0.33,0.99
92,379.096,0.138696817,1.440205336,-4.781934276,0.33,0.99
93,379.735,0.140380987,1.440205336,-4.847496785,0.33,0.99
94,380.375,0.142064954,1.440205336,-4.913051404,0.33,0.99
95,381.016,0.143748715,1.440205336,-4.978597988,0.33,0.99
96,386.835,0.158905591,1.440205336,-5.568635179,0.33,0.99
97,390.01,0.167079725,1.440205336,-5.886843435,0.33,0.99
98,390.106,0.167325843,1.440205336,-5.896424454,0.33,0.99
99,390.763,0.169008584,1.440205336,-5.961931341,0.33,0.99